#  T_lb      theta_K      xsectn    analy_nuc  analy_gam  analy_cas
  3.000E+00  9.816E-01   3.001E+00 -4.339E-02 -6.346E-02  4.218E-02
  3.000E+00  9.041E-01   3.518E+00 -6.047E-02 -2.116E-01  5.798E-02
  3.000E+00  7.699E-01   3.848E+00 -4.698E-02 -3.030E-01  4.335E-02
  3.000E+00  5.873E-01   3.831E+00 -2.479E-02 -3.373E-01  2.010E-02
  3.000E+00  3.678E-01   3.613E+00 -6.374E-03 -3.401E-01  1.122E-03
  3.000E+00  1.252E-01   3.367E+00 -1.293E-03 -3.247E-01 -3.419E-03
  3.000E+00 -1.252E-01   3.207E+00 -1.734E-02 -2.953E-01  1.447E-02
  3.000E+00 -3.678E-01   3.197E+00 -5.340E-02 -2.514E-01  5.296E-02
  3.000E+00 -5.873E-01   3.353E+00 -9.206E-02 -1.929E-01  9.336E-02
  3.000E+00 -7.699E-01   3.645E+00 -1.087E-01 -1.245E-01  1.105E-01
  3.000E+00 -9.041E-01   3.979E+00 -9.110E-02 -5.828E-02  9.240E-02
  3.000E+00 -9.816E-01   4.226E+00 -4.528E-02 -1.205E-02  4.586E-02
#  T_lb      theta_K     xsectn    analy_nuc  analy_gam  analy_cas
  4.000E+00  9.816E-01   5.742E+00 -3.114E-02 -3.400E-01  2.586E-02
  4.000E+00  9.041E-01   9.496E+00 -1.185E-02 -5.723E-01  7.109E-03
  4.000E+00  7.699E-01   9.921E+00  1.359E-02 -5.942E-01 -1.673E-02
  4.000E+00  5.873E-01   8.617E+00  3.496E-02 -5.722E-01 -3.577E-02
  4.000E+00  3.678E-01   7.230E+00  4.801E-02 -5.373E-01 -4.564E-02
  4.000E+00  1.252E-01   6.132E+00  5.243E-02 -4.866E-01 -4.581E-02
  4.000E+00 -1.252E-01   5.339E+00  4.741E-02 -4.140E-01 -3.518E-02
  4.000E+00 -3.678E-01   5.031E+00  2.268E-02 -3.274E-01 -4.439E-03
  4.000E+00 -5.873E-01   5.587E+00 -2.979E-02 -2.442E-01  5.047E-02
  4.000E+00 -7.699E-01   7.477E+00 -7.303E-02 -1.683E-01  9.000E-02
  4.000E+00 -9.041E-01   1.062E+01 -7.022E-02 -8.858E-02  8.111E-02
  4.000E+00 -9.816E-01   1.356E+01 -3.507E-02 -2.006E-02  3.994E-02
#  T_lb      theta_K     xsectn    analy_nuc  analy_gam  analy_cas
  5.000E+00  9.816E-01   7.945E+00 -1.467E-02 -5.337E-01  5.056E-03
  5.000E+00  9.041E-01   1.312E+01  6.154E-03 -6.548E-01 -1.360E-02
  5.000E+00  7.699E-01   1.140E+01  2.717E-02 -6.395E-01 -3.230E-02
  5.000E+00  5.873E-01   8.491E+00  4.165E-02 -6.401E-01 -4.355E-02
  5.000E+00  3.678E-01   6.602E+00  4.134E-02 -6.417E-01 -3.932E-02
  5.000E+00  1.252E-01   5.613E+00  2.660E-02 -6.221E-01 -2.076E-02
  5.000E+00 -1.252E-01   4.901E+00  1.554E-02 -5.678E-01 -5.959E-03
  5.000E+00 -3.678E-01   4.476E+00  1.046E-02 -4.808E-01  3.468E-03
  5.000E+00 -5.873E-01   4.912E+00 -1.328E-02 -3.663E-01  3.101E-02
  5.000E+00 -7.699E-01   7.498E+00 -5.108E-02 -2.404E-01  6.704E-02
  5.000E+00 -9.041E-01   1.372E+01 -5.505E-02 -1.258E-01  6.615E-02
  5.000E+00 -9.816E-01   2.104E+01 -2.671E-02 -2.982E-02  3.244E-02
#------------------------------------------------------------------
#  T_lb      theta_Xi     xsectn    analy_nuc  analy_gam  analy_cas
  3.000E+00  9.816E-01   3.686E+00 -5.261E-02 -1.581E-03  5.565E-02
  3.000E+00  9.041E-01   3.742E+00 -1.051E-01 -5.713E-03  1.118E-01
  3.000E+00  7.699E-01   3.744E+00 -1.209E-01 -9.065E-03  1.302E-01
  3.000E+00  5.873E-01   3.641E+00 -1.020E-01 -2.196E-02  1.130E-01
  3.000E+00  3.678E-01   3.415E+00 -3.894E-02 -4.671E-02  5.064E-02
  3.000E+00  1.252E-01   3.145E+00  7.897E-02 -9.118E-02 -6.897E-02
  3.000E+00 -1.252E-01   3.093E+00  2.129E-01 -2.014E-01 -2.073E-01
  3.000E+00 -3.678E-01   3.374E+00  3.087E-01 -3.550E-01 -3.078E-01
  3.000E+00 -5.873E-01   3.800E+00  3.520E-01 -4.585E-01 -3.543E-01
  3.000E+00 -7.699E-01   4.068E+00  3.569E-01 -4.689E-01 -3.602E-01
  3.000E+00 -9.041E-01   3.757E+00  3.229E-01 -3.599E-01 -3.260E-01
  3.000E+00 -9.816E-01   2.972E+00  1.984E-01 -1.181E-01 -2.003E-01
#  T_lb      theta_Xi     xsectn    analy_nuc  analy_gam  analy_cas
  4.000E+00  9.816E-01   8.216E+00 -1.796E-02 -2.850E-03  1.524E-02
  4.000E+00  9.041E-01   7.891E+00 -3.582E-02  1.188E-02  3.042E-02
  4.000E+00  7.699E-01   7.168E+00 -5.112E-02  1.630E-02  4.567E-02
  4.000E+00  5.873E-01   6.381E+00 -6.150E-02 -5.456E-02  5.640E-02
